ID,Category,Question
WW18,Wait What?,"If your personality became a clothing brand, what would its reputation be?"
WW19,Wait What?,"If you could ban one thing from the world, what would it be and why?"
WW20,Wait What?,"If you had to wear a sign around your neck every day, what would it say?"
WW21,Wait What?,"If you had to design a tattoo for me, what would it be?"
WW22,Wait What?,What’s the weirdest animal voice you can imitate?
WW23,Wait What?,What song would psychologically break you if it played on loop?
WW24,Wait What?,Would you rather burp bubbles or sneeze glitter?
WW25,Wait What?,"If you were hired to make a dinner party slightly uncomfortable, what would you do?"
WW26,Wait What?,"If you could replace pigeons with another animal in cities, what would you choose?"
WW27,Wait What?,What three objects would I need to place in a magic circle to summon you?
WW28,Wait What?,What’s the strangest coincidence that’s ever happened to you?
WW29,Wait What?,"If you opened a tiny museum about me, what three objects would you put on display?"
WW30,Wait What?,"If you came with a warning label, what would it say?"
WW31,Wait What?,"If people worshipped you 500 years from now, what oddly specific thing would they worship you for?"
WW32,Wait What?,"If you woke up 200 years in the future, what’s the first thing you’d ask?"
WW33,Wait What?,"If your apartment had a secret opinion about you, what would it be?"
