ID,Category,Question
WW18,Wait What?,"If your personality became a clothing brand, what would its reputation be?"
WW19,Wait What?,"If you could ban one thing from the world, what would it be and why?"
WW20,Wait What?,"If you had to wear a sign around your neck every day, what would it say?"
WW21,Wait What?,"If you had to design a tattoo for me, what would it be?"
WW22,Wait What?,What’s the weirdest animal voice you can imitate?
WW23,Wait What?,What song would psychologically break you if it played on loop?
WW24,Wait What?,Would you rather burp bubbles or sneeze glitter?
WW25,Wait What?,"If you were hired to make a dinner party slightly uncomfortable, what would you do?"
JV26,Just Vibing,What’s something I say all the time?
DD25,Dig Deep,"If your life became a movie, what’s one scene you’d want in the final cut?"
DD26,Dig Deep,What’s a compliment that’s stayed with you for years?
DD27,Dig Deep,What’s a moment from your past that you later realized was a turning point?
WW26,Wait What?,"If you could replace pigeons with another animal in cities, what would you choose?"
DD28,Dig Deep,What’s one moment when you were impressed by me?
JV27,Just Vibing,"What’s one song you love for the lyrics, and one you love purely for the music?"
JV28,Just Vibing,"If you had to pick a movie for us to watch, what would you choose?"
DD29,Dig Deep,Is there someone you still miss from time to time?
JV29,Just Vibing,What’s a guilty pleasure you love unapologetically?
WW29,Wait What?,"If you opened a tiny museum about me, what three objects would you put on display?"
DD30,Dig Deep,In what ways do you think we’re similar?
JV30,Just Vibing,What’s a habit you’ve kept since childhood? How did it start?
WW28,Wait What?,What’s the strangest coincidence that’s ever happened to you?
WW27,Wait What?,What three objects would I need to place in a magic circle to summon you?
WW31,Wait What?,"If people worshipped you 500 years from now, what oddly specific thing would they worship you for?"
WW30,Wait What?,"If you came with a warning label, what would it say?"
WW32,Wait What?,"If you woke up 200 years in the future, what’s the first thing you’d ask?"
WW33,Wait What?,"If your apartment had a secret opinion about you, what would it be?"
JV31,Just Vibing,What was your favorite toy as a kid?
DD31,Dig Deep,What’s the best advice you’ve ever received from someone unexpected?
DD32,Dig Deep,What do you think it was like to raise you when you were a child?
DD33,Dig Deep,What’s something you learned about love from watching other people?
JV32,Just Vibing,What’s a very specific errand or household chore you secretly enjoy?
JV33,Just Vibing,What’s something you always notice in other people’s homes?
JV34,Just Vibing,What’s your favorite way to spend an evening alone?
